# v_mps,ax_max_machines_me+00
0.00E+00,3.68E+00
1.00E+00,3.68E+00
2.00E+00,3.68E+00
3.00E+00,3.68E+00
4.00E+00,3.68E+00
5.00E+00,3.68E+00
6.00E+00,3.68E+00
7.00E+00,3.68E+00
8.00E+00,3.68E+00
9.00E+00,3.70E+00
1.00E+01,3.72E+00
1.10E+01,3.74E+00
1.20E+01,3.76E+00
1.30E+01,3.78E+00
1.40E+01,3.80E+00
1.50E+01,3.83E+00
1.60E+01,3.85E+00
1.70E+01,3.87E+00
1.80E+01,3.89E+00
1.90E+01,3.91E+00
2.00E+01,3.93E+00
2.10E+01,3.95E+00
2.20E+01,3.97E+00
2.30E+01,3.99E+00
2.40E+01,4.01E+00
2.50E+01,4.02E+00
2.60E+01,4.03E+00
2.70E+01,4.05E+00
2.80E+01,4.06E+00
2.90E+01,4.07E+00
3.00E+01,4.09E+00
3.10E+01,4.10E+00
3.20E+01,4.11E+00
3.30E+01,4.12E+00
3.40E+01,4.14E+00
3.50E+01,4.15E+00
3.60E+01,4.16E+00
3.70E+01,4.18E+00
3.80E+01,4.19E+00
3.90E+01,4.20E+00
4.00E+01,4.21E+00
4.10E+01,4.21E+00
4.20E+01,4.21E+00
4.30E+01,4.21E+00
4.40E+01,4.22E+00
4.50E+01,4.22E+00
4.60E+01,4.22E+00
4.70E+01,4.22E+00
4.80E+01,4.23E+00
4.90E+01,4.23E+00
5.00E+01,4.23E+00
5.10E+01,4.23E+00
5.20E+01,4.23E+00
5.30E+01,4.24E+00
5.40E+01,4.24E+00
5.50E+01,4.24E+00
5.60E+01,4.24E+00
5.70E+01,4.25E+00
5.80E+01,4.25E+00
5.90E+01,4.25E+00
6.00E+01,4.25E+00
6.10E+01,4.25E+00
6.20E+01,4.26E+00
6.30E+01,4.26E+00
6.40E+01,4.26E+00
6.50E+01,4.26E+00
6.60E+01,4.27E+00
6.70E+01,4.27E+00
6.80E+01,4.27E+00
6.90E+01,4.27E+00
7.00E+01,4.27E+00
7.10E+01,4.28E+00
7.20E+01,4.28E+00
7.30E+01,4.28E+00
7.40E+01,4.28E+00
7.50E+01,4.29E+00
7.60E+01,4.29E+00
7.70E+01,4.29E+00
7.80E+01,4.29E+00
7.90E+01,4.29E+00
8.00E+01,4.30E+00
8.10E+01,4.30E+00
8.20E+01,4.30E+00
8.30E+01,4.30E+00
8.40E+01,4.30E+00
