# v_mps,ax_max_mps2,ay_max_mps2
0.00E+00,8.41E+00,27
1.00E+00,8.41E+00,27
2.00E+00,8.42E+00,27
3.00E+00,8.43E+00,27
4.00E+00,8.44E+00,27
5.00E+00,8.46E+00,27
6.00E+00,8.48E+00,27
7.00E+00,8.50E+00,27
8.00E+00,8.53E+00,27
9.00E+00,8.56E+00,27
1.00E+01,8.60E+00,27
1.10E+01,8.64E+00,27
1.20E+01,8.68E+00,27
1.30E+01,8.73E+00,27
1.40E+01,8.78E+00,27
1.50E+01,8.83E+00,27
1.60E+01,8.89E+00,27
1.70E+01,8.95E+00,27
1.80E+01,9.01E+00,27
1.90E+01,9.08E+00,27
2.00E+01,9.15E+00,27
2.10E+01,9.23E+00,27
2.20E+01,9.30E+00,27
2.30E+01,9.38E+00,27
2.40E+01,9.47E+00,27
2.50E+01,9.55E+00,27
2.60E+01,9.64E+00,27
2.70E+01,9.74E+00,27
2.80E+01,9.83E+00,27
2.90E+01,9.93E+00,27
3.00E+01,1.00E+01,27
3.10E+01,1.01E+01,27
3.20E+01,1.02E+01,27
3.30E+01,1.03E+01,27
3.40E+01,1.05E+01,27
3.50E+01,1.06E+01,27
3.60E+01,1.07E+01,27
3.70E+01,1.08E+01,27
3.80E+01,1.09E+01,27
3.90E+01,1.10E+01,27
4.00E+01,1.12E+01,27
4.10E+01,1.13E+01,27
4.20E+01,1.14E+01,27
4.30E+01,1.16E+01,27
4.40E+01,1.17E+01,27
4.50E+01,1.18E+01,27
4.60E+01,1.19E+01,27
4.70E+01,1.21E+01,27
4.80E+01,1.22E+01,27
4.90E+01,1.24E+01,27
5.00E+01,1.25E+01,27
5.10E+01,1.26E+01,27
5.20E+01,1.28E+01,27
5.30E+01,1.29E+01,27
5.40E+01,1.30E+01,27
5.50E+01,1.32E+01,27
5.60E+01,1.33E+01,27
5.70E+01,1.35E+01,27
5.80E+01,1.36E+01,27
5.90E+01,1.37E+01,27
6.00E+01,1.39E+01,27
6.10E+01,1.40E+01,27
6.20E+01,1.42E+01,27
6.30E+01,1.43E+01,27
6.40E+01,1.44E+01,27
6.50E+01,1.46E+01,27
6.60E+01,1.47E+01,27
6.70E+01,1.48E+01,27
6.80E+01,1.49E+01,27
6.90E+01,1.51E+01,27
7.00E+01,1.52E+01,27
7.10E+01,1.53E+01,27
7.20E+01,1.54E+01,27
7.30E+01,1.55E+01,27
7.40E+01,1.57E+01,27
7.50E+01,1.58E+01,27
7.60E+01,1.59E+01,27
7.70E+01,1.60E+01,27
7.80E+01,1.61E+01,27
7.90E+01,1.62E+01,27
8.00E+01,1.63E+01,27
8.10E+01,1.64E+01,27
8.20E+01,1.64E+01,27
8.30E+01,1.64E+01,27
8.40E+01,1.64E+01,27
